   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing FakeInvestigation.C+...
Begin Fake Investigation
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 12, 8987, 179, 93.8696
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 13, 9073, 185, 94.2958
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 14, 9119, 194, 94.4936
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 15, 9154, 201, 94.6431
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 7, 7876, 136, 87.9904
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 8, 8354, 145, 90.6172
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 9, 8715, 164, 92.488
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 10, 8936, 171, 93.6387
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 11, 9085, 182, 94.3746
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 12, 9184, 192, 94.8469
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 13, 9275, 201, 95.2799
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 14, 9315, 210, 95.4444
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 15, 9342, 215, 95.5606
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 7, 8033, 141, 88.8506
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 8, 8545, 155, 91.612
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 9, 8884, 170, 93.3659
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 10, 9104, 184, 94.465
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 11, 9248, 194, 95.1735
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 12, 9336, 205, 95.5793
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 13, 9413, 217, 95.9213
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 14, 9451, 225, 96.0793
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 15, 9475, 234, 96.1594
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 7, 8173, 147, 89.6024
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 8, 8695, 163, 92.3851
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 9, 9026, 174, 94.1026
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 10, 9235, 192, 95.1152
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 11, 9375, 208, 95.768
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 12, 9460, 221, 96.146
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 13, 9529, 233, 96.4446
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 14, 9566, 239, 96.6066
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 15, 9580, 243, 96.6593
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 7, 8305, 149, 90.3251
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 8, 8814, 168, 93.0008
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 9, 9141, 182, 94.6708
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 10, 9337, 202, 95.5996
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 11, 9466, 219, 96.1871
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 12, 9553, 234, 96.5639
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 13, 9613, 241, 96.8395
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 14, 9648, 246, 96.9954
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 15, 9667, 248, 97.0835

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 15, 97.0835
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 7, 5033, 161, 69.8355
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 8, 5395, 176, 72.2811
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 9, 5655, 189, 73.9737
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 10, 5815, 200, 74.9777
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 11, 5924, 214, 75.6139
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 12, 5995, 222, 76.0324
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 13, 6043, 238, 76.2497
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 14, 6079, 252, 76.4005
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 15, 6109, 267, 76.5061
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 7, 5152, 166, 70.6483
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 8, 5532, 184, 73.1705
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 9, 5789, 199, 74.8105
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 10, 5954, 211, 75.8302
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 11, 6069, 226, 76.4926
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 12, 6137, 245, 76.8206
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 13, 6176, 266, 76.9479
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 14, 6218, 278, 77.1485
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 15, 6242, 291, 77.2267
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 7, 5280, 172, 71.5082
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 8, 5650, 193, 73.9146
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 9, 5919, 207, 75.624
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 10, 6073, 227, 76.5126
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 11, 6184, 250, 77.0955
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 12, 6250, 269, 77.4087
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 13, 6296, 285, 77.6102
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 14, 6323, 305, 77.6662
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.2, 15, 6343, 315, 77.7361
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 7, 5377, 177, 72.1501
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 8, 5748, 200, 74.53
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 9, 6015, 217, 76.1942
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 10, 6168, 243, 77.0338
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 11, 6268, 271, 77.5128
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 12, 6333, 290, 77.8184
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 13, 6375, 310, 77.9703
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 14, 6403, 325, 78.0622
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.3, 15, 6426, 346, 78.0876
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.4, 7, 5454, 181, 72.6554
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.4, 8, 5832, 205, 75.0597
